scientificName,lon,lat
Trichechus manatus,-74.77755,11.01922
Trichechus manatus,-81.321237,25.811154
Trichechus manatus,-80.61363,28.36466
Trichechus manatus,-82.049084,26.641611
Trichechus manatus,-80.194285,27.144306
Trichechus manatus,-82.335372,27.102639
Trichechus manatus,-82.6646,27.46876
Trichechus manatus,-77.058167,26.547333
Trichechus manatus,-81.631346,25.915462
Trichechus manatus,-80.7933,28.80305
Trichechus manatus,-81.668324,30.140225
Trichechus manatus,-81.50776,25.957533
Trichechus manatus,-80.608371,28.178235
Trichechus manatus,-80.614829,28.325146
Trichechus manatus,-82.593224,28.881666
Trichechus manatus,-81.794512,26.690519
Trichechus manatus,-80.314552,25.535308
Trichechus manatus,-80.954997,25.304186
Trichechus manatus,-80.637987,28.125065
Trichechus manatus,-81.709175,25.961666
Trichechus manatus,-80.067448,26.415155
Trichechus manatus,-80.328527,25.540145
Trichechus manatus,-80.667828,28.285849
Trichechus manatus,-77.114867,26.666033
Trichechus manatus,-80.666718,28.390886
Trichechus manatus,-86.43814,30.41002
Trichechus manatus,-81.340947,28.943595
Trichechus manatus,-81.510307,25.943799
Trichechus manatus,-82.650583,28.821806
Trichechus manatus,-81.20535,25.698049
Trichechus manatus,-80.187451,26.067889
Trichechus manatus,-81.821311,26.242279
Trichechus manatus,-80.539018,27.830641
Trichechus manatus,-80.62585,28.18094
Trichechus manatus,-80.6843,28.34316
Trichechus manatus,-81.509327,25.930615
Trichechus manatus,-81.294929,29.881253
Trichechus manatus,-81.198711,25.554103
Trichechus manatus,-81.81537,26.69608
Trichechus manatus,-80.65995,28.3328
Trichechus manatus,-80.087427,26.977535
Trichechus manatus,-81.673603,29.494411
Trichechus manatus,-80.69614,28.38808
Trichechus manatus,-80.065308,26.442585
Trichechus manatus,-80.209417,27.265795
Trichechus manatus,-80.958867,25.345925
Trichechus manatus,-81.507647,25.957345
Trichechus manatus,-82.401757,26.997995
Trichechus manatus,-81.08732,26.839151
Trichechus manatus,-80.122677,27.063965
Trichechus manatus,-80.061842,26.423787
Trichechus manatus,-80.340237,25.461965
Trichechus manatus,-82.255317,26.748105
Trichechus manatus,-80.313651,27.456385
Trichechus manatus,-80.188187,26.075635
Trichechus manatus,-82.594957,28.880375
Trichechus manatus,-80.121557,27.060245
Trichechus manatus,-80.26143,27.1999
Trichechus manatus,-80.265067,25.730195
Trichechus manatus,-81.673659,29.494328
Trichechus manatus,-82.269377,27.051965
Trichechus manatus,-82.269657,27.016725
Trichechus manatus,-80.615009,28.318188
Trichechus manatus,-80.792474,28.548402
Trichechus manatus,-80.330544,25.539604
Trichechus manatus,-81.11293,25.58288
Trichechus manatus,-80.323217,27.451505
Trichechus manatus,-80.314834,27.515327
Trichechus manatus,-81.77753,26.691626
Trichechus manatus,-82.589057,28.887755
Trichechus manatus,-80.92763,25.00251
Trichechus manatus,-82.25385,26.74809
Trichechus manatus,-81.79352,26.69019
Trichechus manatus,-84.38655,30.02901
Trichechus manatus,-80.429987,25.240846
Trichechus manatus,-80.949897,25.277116
Trichechus manatus,-75.1898,19.9067
Trichechus manatus,-81.392937,25.852205
Trichechus manatus,-82.596632,28.891239
Trichechus manatus,-80.636436,28.409037
Trichechus manatus,-81.339587,28.947398
Trichechus manatus,-80.757767,28.470405
Trichechus manatus,-81.643982,30.320517
Trichechus manatus,-80.109255,26.133701
Trichechus manatus,-81.5085,25.94865
Trichechus manatus,-80.273431,25.732095
Trichechus manatus,-80.169737,26.096482
Trichechus manatus,-82.763555,28.237232
Trichechus manatus,-81.340625,28.943749
Trichechus manatus,-82.592223,28.800021
Trichechus manatus,-80.844267,28.939367
Trichechus manatus,-80.165916,25.894023
Trichechus manatus,-81.65257,25.91904
Trichechus manatus,-81.785277,26.687517
Trichechus manatus,-81.996477,26.518405
Trichechus manatus,-82.377587,26.993615
Trichechus manatus,-81.852057,26.488675
Trichechus manatus,-82.748933,29.004422
Trichechus manatus,-81.87164,26.65085
Trichechus manatus,-81.697258,30.252978
Trichechus manatus,-80.192143,26.071907
Trichechus manatus,-80.050696,26.764081
Trichechus manatus,-81.740705,26.711638
Trichechus manatus,-80.115046,26.080264
Trichechus manatus,-82.410183,27.793326
Trichechus manatus,-82.417337,27.800745
Trichechus manatus,-81.977122,26.546471
Trichechus manatus,-81.507897,25.957545
